City,Year,Code Number, PDF Page Number (Not Plan Page),Document Name,Text Content,Verb,Nature,N_Nature,N_Culture,N_Society,Biodiversity,HumanWellbeing,ClimateAdaptation,HW,Both
LA,2019,19:1,p 26,2019_LA_SUS,Partner with government agencies and NGOs to expand the 50 Parks L.A. Initiative,Expand,Parks,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
LA,2019,19:2,p 26,2019_LA_SUS,Identify low canopy corridors and prioritize planting trees in those areas,Increase,Trees-focused,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
LA,2019,19:8,p 29,2019_LA_SUS,Identify opportunities to increase edible gardens in City’s public housing,Increase,Gardens,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
LA,2019,19:9,p 48,2019_LA_SUS,"Ensure that $80 million annually from Measure W supports multi-benefit projects that improve water quality
·  Increase number of green infrastructure sites such as green streets and alleys, bioswales, infiltration cutouts, permeable pavement, and street trees
·  Evaluate incentives and existing policies to increase residential and commercial stormwater capture
·  Expand use of permeable pavement in large infrastructure projects
(e.g., LAWA)
·  Develop projects that prioritize nature-based solutions",Increase,Trees-focused,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
LA,2019,19:9,p 48,2019_LA_SUS,"Ensure that $80 million annually from Measure W supports multi-benefit projects that improve water quality
·  Increase number of green infrastructure sites such as green streets and alleys, bioswales, infiltration cutouts, permeable pavement, and street trees
·  Evaluate incentives and existing policies to increase residential and commercial stormwater capture
·  Expand use of permeable pavement in large infrastructure projects
(e.g., LAWA)
·  Develop projects that prioritize nature-based solutions",Increase,Bioswales,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
LA,2019,19:9,p 48,2019_LA_SUS,"Ensure that $80 million annually from Measure W supports multi-benefit projects that improve water quality
·  Increase number of green infrastructure sites such as green streets and alleys, bioswales, infiltration cutouts, permeable pavement, and street trees
·  Evaluate incentives and existing policies to increase residential and commercial stormwater capture
·  Expand use of permeable pavement in large infrastructure projects
(e.g., LAWA)
·  Develop projects that prioritize nature-based solutions",Increase,Lots-focused,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
LA,2019,19:9,p 48,2019_LA_SUS,"Ensure that $80 million annually from Measure W supports multi-benefit projects that improve water quality
·  Increase number of green infrastructure sites such as green streets and alleys, bioswales, infiltration cutouts, permeable pavement, and street trees
·  Evaluate incentives and existing policies to increase residential and commercial stormwater capture
·  Expand use of permeable pavement in large infrastructure projects
(e.g., LAWA)
·  Develop projects that prioritize nature-based solutions",Increase,Permeable surfaces,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
LA,2019,19:28,p 122,2019_LA_SUS,"Pilot 6 cool neighborhoods in vulnerable communities by 2021; and 10 by 2025
·  Design neighborhood pilots to include a mix of cool roofs, cool pavements, and urban greening",Create,Non-nature,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
LA,2019,19:28,p 122,2019_LA_SUS,"Pilot 6 cool neighborhoods in vulnerable communities by 2021; and 10 by 2025
·  Design neighborhood pilots to include a mix of cool roofs, cool pavements, and urban greening",Create,Trees-focused,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
LA,2019,19:32,p 123,2019_LA_SUS,"Set biodiversity targets and pilot L.A.’s first wildlife corridor
·  Complete first biodiversity assessment using L.A.-specific index
·  Build up City’s biodiversity program to improve internal practices
·  Monitor biodiversity and natural areas
·  Update watershed protection policies to include enhanced stream protection",Set,Green corridors,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
LA,2019,19:32,p 123,2019_LA_SUS,"Set biodiversity targets and pilot L.A.’s first wildlife corridor
·  Complete first biodiversity assessment using L.A.-specific index
·  Build up City’s biodiversity program to improve internal practices
·  Monitor biodiversity and natural areas
·  Update watershed protection policies to include enhanced stream protection",Protect,Watershed,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
LA,2019,19:37,p 124,2019_LA_SUS,"Ensure proportion of Angelenos living within 1/2 mile of a park or open space is at least 65% by 2025; 75% by 2035; and 100% by 2050
Baseline: 56% of residents live within 1⁄2 mile of a park or open space as of 2018
                                                         Source: Trust for Public Land ParkScore® Index
Milestones & Initiatives
2021/2025
Add at least 8 parks by 2021; and 30 parks by 2025
·  Partner with government agencies and NGOs to expand the 50 Parks L.A. Initiative
·  Adopt park equity investment criteria to help prioritize park placement
·  Complete 3 new L.A. River parks
·  Assess and track park acreage per 1000 residents
·  Leverage Measure A, Measure W, and Prop 68 to support groundwater recharge, stormwater management, and green infrastructure",Expand,Parks,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
LA,2019,19:45,p 120,2019_LA_SUS,"Complete citywide tree inventory by 2021; and an Urban Forest Management Plan by 2025
·  Update the Protected Tree and Shrub Ordinance to preserve, maintain, and grow protected tree species","Preserve, Maintain, Grow",Trees-focused,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
LA,2019,19:47,p 27,2019_LA_SUS,"Incorporate additional cooling features such as innovative shade design, water features, and cooling centers at parks",Incorporate,Non-nature,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
LA,2019,19:54,p 111,2019_LA_SUS,"Double participation in the Urban Agriculture Incentive Zone program
·  Monitor and increase the number of sites in the Urban Agriculture Incentive Zone program
·  Streamline permitting for gardens on private land
·  Establish new zoning categories for innovative food production
·  Encourage urban farming through City’s compost giveaway and distribution program
Expand urban agriculture in the City’s Promise Zones
Double participation in the Urban Agriculture Incentive Zone program
·  Monitor and increase the number of sites in the Urban Agriculture Incentive Zone program
·  Streamline permitting for gardens on private land
·  Establish new zoning categories for innovative food production
·  Encourage urban farming through City’s compost giveaway and distribution program",Expand,Urban farm,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
LA,2019,19:63,p 121,2019_LA_SUS,"Support at least 8 partnership opportunities on L.A. River-adjacent public and private properties
·  Build L.A. River Headworks Park project, including habitat restoration and public access to the river
·  Support terracing along the L.A. River by planning and effectuating public access through City properties
·  Support completion of the “Bending the River Back into the City” Project (Water Wheel)
·  Support and expand compatible L.A. River recreational opportunities",Expand,Parks,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
LA,2019,19:64,p 123,2019_LA_SUS,"Update a citywide Integrated Pest Management plan
·  Prioritize reducing pesticide and rodenticide use, including the use of non-toxic pest management options wherever possible
·  Develop guidance and training for City maintenance staff on natural area and non-toxic pest management",Reduce bad,Non-nature,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
LA,2019,19:65,p 123,2019_LA_SUS,"Develop a citywide strategy for protection and enhancement of native biodiversity
·  Preserve and expand connectivity and access to natural habitats
·  Collect data and map urban biodiversity to identify key areas to enhance or protect
·  Protect and restore sensitive habitats
·  Increase the number of native and pollinator-friendly gardens and natural areas in public spaces
·  Incorporate the L.A. River flow study in management decisions around the river",Protect,Habitat,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
LA,2019,19:65,p 123,2019_LA_SUS,"Develop a citywide strategy for protection and enhancement of native biodiversity
·  Preserve and expand connectivity and access to natural habitats
·  Collect data and map urban biodiversity to identify key areas to enhance or protect
·  Protect and restore sensitive habitats
·  Increase the number of native and pollinator-friendly gardens and natural areas in public spaces
·  Incorporate the L.A. River flow study in management decisions around the river",Increase,Gardens,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Chicago,2015,31:4,p 23,2015_Chicago_SUS,Convert 1.5 million square feet of impermeable surface into pervious surfaces every year.,Expand,Permeable surfaces,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
Chicago,2015,31:7,p 27,2015_Chicago_SUS,Increase Chicago Park District acreage by more than 180 acres.,Increase,Parks,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
Chicago,2015,31:11,p 27,2015_Chicago_SUS,Protect the tree canopy in the public right of way; support tree canopy work on other land.,"Protect, Support",Trees-focused,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Chicago,2015,31:12,p 27,2015_Chicago_SUS,Continue to enforce the terrestrial and aquatic invasive species ordinance and work with state and federal partners on regional coordination on prevention.,Prevent,Animals-focused,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Chicago,2015,31:16,p 23,2015_Chicago_SUS,Protect water quality and enhance Lake Michian by decreasing bacteria sources into the Lake to reduce swim advisory days.,Improve,Parks,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
Chicago,2015,31:19,p 27,2015_Chicago_SUS,"INCREASE OPTIONS FOR ACCESSING
LOCAL OR HEALTHY FOOD IN EVERY NEIGHBORHOOD
Access to healthy, local food is essential to a person’s well-being. Nearly 400,000 Chicagoans lack this nearby access. Chicago has committed to partnering to find innovative solutions to ensure that healthy food options are available and convenient in every neighborhood. From Mobile Market buses and increased farmers markets, to increasing residents’ ability to participate in urban agriculture, Chicago is creating a new food culture that improves resident health while creating economic opportunity.
Key actions:
» Double the number of acres of urban agriculture.",Expand,Urban farm,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
Chicago,2015,31:20,p 27,2015_Chicago_SUS,"IMPROVE AND PROTECT CHICAGO’S
NATURAL ASSETS AND BIODIVERSITY
The Chicago region is home to numerous native species of flora and fauna, and is located in one of the major North American bird migration routes – the Lake Michigan Flyway. Access to the local natural habitat
is in many ways threatened by invasive species, pollution and urban development. Chicago will work to ensure nature protection in the region and to deliver a better natural environment for all residents.
Key actions:
» Drive habitat restoration and public engagement in the Calumet region.
» Increase and protect habitat that is friendly to bird and other species. Restore at least 40 acres of land on Northerly Island in support of this effort.","Restore, Protect",Habitat,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Baltimore,2019,38:1,p 57,2019_Baltimore_SUS,"Increase student consumption of nutritious food by prioritizing fresh and regionally-sourced products in cafeterias, implementing Farms to Schools strategies that support the local agricultural economy, and support schoolyard gardens and relationships between schools and farms.;
In partnership with urban agriculture practitioners, develop site criteria for identifying City-owned land that may be suitable for farming. Encourage private and institutional landholders to similarly establish agricultural space (both indoor and outdoor).",Set,Urban farm,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
Baltimore,2019,38:2,p 71,2019_Baltimore_SUS,"Continue to increase resident-led and city-supported improvements with a focus in under-served neighborhoods; these include repairing more street lights, sidewalks, and roads; planting more trees; Direct tree planting and other efforts to muffle noise in neighborhoods with less tree canopy and in communities which are at higher risk of adverse outcomes from noise pollution.",Increase,Trees-focused,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
Baltimore,2019,38:4,p 80,2019_Baltimore_SUS,Storm-water reservoirs could be used to integrate site design features (irrigation of urban green infrastructure and agriculture) and serve as thermal mass for district heating and cooling.,Incorporate,Water Reservoir,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
Baltimore,2019,38:6,p 96,2019_Baltimore_SUS,"Increase installation of cool roofs and green roofs and plant more shade trees in neighborhoods where concrete and other hard surfaces trap and collect heat, creating “urban heat islands”.",Increase,Non-nature,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
Baltimore,2019,38:6,p 96,2019_Baltimore_SUS,"Increase installation of cool roofs and green roofs and plant more shade trees in neighborhoods where concrete and other hard surfaces trap and collect heat, creating “urban heat islands”.",Increase,Green roofs,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
Baltimore,2019,38:6,p 96,2019_Baltimore_SUS,"Increase installation of cool roofs and green roofs and plant more shade trees in neighborhoods where concrete and other hard surfaces trap and collect heat, creating “urban heat islands”.",Increase,Trees-focused,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
Baltimore,2019,38:10,p 115,2019_Baltimore_SUS,"Implement the Baltimore Green Network, continuing to create a collective vision with communities to link green corridors and connections between green spaces for people and wildlife.",Implement,Green corridors,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
Baltimore,2019,38:13,p 118,2019_Baltimore_SUS,"Identify mechanisms to ensure protection and maintenance of habitat areas on public and private lands, in perpetuity.","Protect, Maintain",Habitat,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Baltimore,2019,38:16,p 121,2019_Baltimore_SUS,Adopt a tree ordinance to preserve trees and forests on public and private property.,Preserve,Trees-focused,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
Baltimore,2019,38:18,p 125,2019_Baltimore_SUS,"Increase restoration of riparian corridors, and pursue other innovative habitat restoration such as floating wetlands, living shorelines, and oyster gardens. Consider small-scale and block-level greening projects in tandem with educational, stewardship, and social fabric building activities.",Restore,Riparian corridors,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
Baltimore,2019,38:20,p 126,2019_Baltimore_SUS,"Increase restoration of riparian corridors, and pursue other innovative habitat restoration such as floating wetlands, living shorelines, and oyster gardens. Consider small-scale and block-level greening projects in tandem with educational, stewardship, and social fabric building activities.",Restore,Wetland,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
Baltimore,2019,38:20,p 126,2019_Baltimore_SUS,"Increase restoration of riparian corridors, and pursue other innovative habitat restoration such as floating wetlands, living shorelines, and oyster gardens. Consider small-scale and block-level greening projects in tandem with educational, stewardship, and social fabric building activities.",Restore,Shorelines,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
Baltimore,2019,38:20,p 126,2019_Baltimore_SUS,"Increase restoration of riparian corridors, and pursue other innovative habitat restoration such as floating wetlands, living shorelines, and oyster gardens. Consider small-scale and block-level greening projects in tandem with educational, stewardship, and social fabric building activities.",Restore,Oyster gardens,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
Baltimore,2019,38:20,p 126,2019_Baltimore_SUS,"Improve watershed management for the City’s three raw water reservoirs, by developing and implementing a forest management plan for each. Work with surrounding jurisdictions to improve land-use controls and watershed management in the three watersheds.",Improve,Watershed,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
Baltimore,2019,38:29,p 65,2019_Baltimore_SUS,"Connect growers (both new and experienced) to educational resources and training, such as Good Agricultural Practices certification, pollinator-friendly defined integrated pest management, and organic farming. This can be achieved by supporting
and developing partnerships. Also, incorporate educational opportunities into land-leasing programs, and support a new farm “incubator.”",Promote,Urban farm,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
Baltimore,2019,38:39,p 113,2019_Baltimore_SUS,"Reconnect youth and families to the concepts and places of nature by co-creating programs to expose people to gardens, farms, green school yards, parks",Connect,Greenspace,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
Baltimore,2019,38:39,p 113,2019_Baltimore_SUS,"Reconnect youth and families to the concepts and places of nature by co-creating programs to expose people to gardens, farms, green school yards, parks; Connect more people to water in safe ways via fishing, boating, and activities at the water’s edge so they can relax, reduce stress, and enjoy nature. Identify and address concerns and barriers to achieving meaningful engagement with water bodies. These may include geographic, economic, historical, linguistic, cultural, institutional, or other barriers.",Connect,Parks,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
Baltimore,2019,38:40,p 113,2019_Baltimore_SUS,"Connect with residents on ways to take action to support a diversity of species while healing ourselves and the nature around us. Examples include installing bat houses, removing grass and planting native gardens in yards, eliminating herbicide and pesticide use, preventing window strikes by birds, and safely disposing of home garden products containing neonicotinoids (a class of insecticide which is highly toxic to bees, and which is now illegal).",Install,Non-nature,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
Baltimore,2019,38:40,p 113,2019_Baltimore_SUS,"Connect with residents on ways to take action to support a diversity of species while healing ourselves and the nature around us. Examples include installing bat houses, removing grass and planting native gardens in yards, eliminating herbicide and pesticide use, preventing window strikes by birds, and safely disposing of home garden products containing neonicotinoids (a class of insecticide which is highly toxic to bees, and which is now illegal).",Plant,Plants-focused,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
Baltimore,2019,38:40,p 113,2019_Baltimore_SUS,"Connect with residents on ways to take action to support a diversity of species while healing ourselves and the nature around us. Examples include installing bat houses, removing grass and planting native gardens in yards, eliminating herbicide and pesticide use, preventing window strikes by birds, and safely disposing of home garden products containing neonicotinoids (a class of insecticide which is highly toxic to bees, and which is now illegal).",Create,Gardens,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
Baltimore,2019,38:40,p 113,2019_Baltimore_SUS,"Connect with residents on ways to take action to support a diversity of species while healing ourselves and the nature around us. Examples include installing bat houses, removing grass and planting native gardens in yards, eliminating herbicide and pesticide use, preventing window strikes by birds, and safely disposing of home garden products containing neonicotinoids (a class of insecticide which is highly toxic to bees, and which is now illegal).",Reduce bad,Non-nature,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
Baltimore,2019,38:45,p 117,2019_Baltimore_SUS,"Expand habitat for pollinators and other wildlife such as aquatic wildlife, soil invertebrates and more, by creating, restoring, and maintaining natural areas, recognizing that one third of our food supply relies on pollinators. For example, create meadows with large plantings that support pollinators 3 and explore creating a policy to permit intentionally growing grass.",Expand,Natural area,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Baltimore,2019,38:46,p 117,2019_Baltimore_SUS,"Acquire and maintain permanent green spaces. Use the Develop policies to eliminate pollinator-harming insecticides (especially the class of “neonicotinoids”) from City property maintenance procedures. Likewise, avoid mosquito spraying in favor of non-toxic practices.","Create, Maintain",Greenspace,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Baltimore,2019,38:46,p 117,2019_Baltimore_SUS,"Acquire and maintain permanent green spaces. Use the Develop policies to eliminate pollinator-harming insecticides (especially the class of “neonicotinoids”) from City property maintenance procedures. Likewise, avoid mosquito spraying in favor of non-toxic practices.",Create,Non-nature,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
Baltimore,2019,38:47,p 117,2019_Baltimore_SUS,"Complete Forest Management Plans for the largest forested parks, with an emphasis on choosing
a diversity of trees, plants, and shrubs that feed pollinators and wildlife through the seasons. Also identify additional natural systems areas for future management plans. Ensure early and frequent engagement from local communities.",Manage,Parks,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Baltimore,2019,38:53,p 121,2019_Baltimore_SUS,"Insure a diversity of tree species. Emphasize the use of native plants and planting “the Right Tree, in the Right Place.” Consider future climate conditions in plantings.",Manage,Trees-focused,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
